Marca temporal,Consentimiento informado,Indica tu rango de edad ,Cuál es tu genero,Semestre en el que te encuentras actualmente,Carrera o programa académico,¿Has pensado en abandonar la universidad en algún momento?,"Si respondiste “sí” en la anterior, ¿Cuál fue la razón principal?",¿Cuentas con algún tipo de beca o apoyo institucional?,¿Cómo calificas tu nivel de estrés relacionado con los estudios?,¿Has sentido síntomas de ansiedad o depresión durante tu vida universitaria?,¿La calidad de los docentes ha influido en tu motivación para continuar estudiando?,"¿Has tenido dificultades con procesos administrativos (inscripciones, becas, trámites)?",¿Consideras que el transporte hacia la universidad es un factor que afecta tu permanencia?,"¿Recibes apoyo académico (tutorías, asesorías, acompañamiento)?",¿Tu familia apoya tu decisión de continuar en la universidad?,¿Qué tan satisfecho estás con tu experiencia universitaria actual?,¿Cómo calificas tu nivel de motivación para continuar y terminar tu carrera?,¿Conoces a algún compañero/a que haya abandonado la universidad?,"Si respondiste “sí”, ¿Cuál fue la razón principal por la que abandonó?",¿Consideras que la universidad ofrece suficiente apoyo para evitar el abandono?,¿Qué tipo de apoyo crees que evitaría el abandono escolar en la universidad?,¿Qué sugerencias darías para reducir el abandono escolar en tu salón o en la universidad?
24/9/2025 0:34:33,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Femenino,1°,Licenciatura en Mercadotecnia y Ventas,Algunas veces,Otra,No cuento con apoyo,Moderado,No,Neutro,"No, ninguna","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,No,Académica,Sí,Flexibilidad de horarios,Para los que trabajamos tener algún apoyo a escojer turno 
23/9/2025 19:05:37,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,3°,Licenciatura en Mercadotecnia y Ventas,Pocas veces,Salud física o mental,No cuento con apoyo,Bajo,No,Muy negativamente,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Muy alta,No,Ninguna ,Sí,Apoyo psicológico/emocional,Las pláticas hacia los estudiantes para conocer sus inquietudes 
23/9/2025 19:05:59,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,3°,Licenciatura en Relaciones Internacionales,Algunas veces,Otra,No cuento con apoyo,Alto,"Sí, algunas veces",Positivamente,"No, casi ninguna",No afecta,"Sí, de manera ocasional","No, en general no",Satisfecho,Alta,No estoy seguro,,No,Flexibilidad de horarios,"Considero que pudiera ayudar la accesibilidad para entregas de trabajos y la flexibilidad en las rúbricas de evaluación, al menos para la personas que trabajamos. Cómo ejemplo al problema prototipico aveces por otras cuestiones no es posible hacerlo en equipo"
23/9/2025 19:06:15,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,6°,Licenciatura en Psicología,Algunas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,"No, en general no",Satisfecho,Alta,Sí,Salud física o mental,Parcialmente,Becas o apoyos económicos,"Becas en efectivo o con apoyo de dispositivos, apoyo psicológico y emocional  la comunidad UNRC y mejorar la administración de la UNI en cuanto a facilidad de trámites como de credencial, tira de materias etc"
23/9/2025 19:06:32,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,17–19 años,Femenino,1°,Licenciatura en Administración y Comercio,Nunca,,No cuento con apoyo,Bajo,No,Muy positivamente,"No, ninguna",No afecta,"Sí, de manera ocasional","Sí, totalmente",Muy satisfecho,Muy alta,No,,Sí,Becas o apoyos económicos,Más comprensión y flexibilidad de parte de docentes 
23/9/2025 19:11:15,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,1°,Licenciatura en Derecho y Criminología,Pocas veces,Dificultades económicas,No cuento con apoyo,Moderado,Prefiero no contestar,Positivamente,"No, casi ninguna","Sí, afecta un poco",No recibo apoyo,Prefiero no contestar,Satisfecho,Moderada,Sí,Familiar,Parcialmente,Becas o apoyos económicos,Promover más tanto apoyo económico como el apoyo psicológico/emocional 
24/9/2025 1:56:22,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,4°,Licenciatura en Psicología,Algunas veces,Problemas académicos,No cuento con apoyo,Alto,"Sí, algunas veces",Neutro,"Sí, muchas dificultades",No afecta,No recibo apoyo,"No, en general no",Poco satisfecho,Moderada,Sí,Académica,No,Todos los anteriores y para todas las modales y planteles,"Tener más seriedad sobre las calificaciones, clases, plataforma, personal administrativo, y accesibilidad a las calificaciones de manera digital, Así como respetar el derecho estudiantil a las becas ya que la universidad no ofrece ninguna beca de nada."
24/9/2025 13:23:41,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,23–25 años,Femenino,7°,Licenciatura en Psicología,Pocas veces,Dificultades económicas,"Sí, apoyo en especie (alimentación, transporte, materiales)",Alto,"Sí, algunas veces",Neutro,"Sí, algunas dificultades","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Académica,No,Todas las respuestas anteriores,"Mas apoyo emocional, becas y mas apoyo de los docentes"
23/9/2025 19:16:32,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Femenino,1°,Licenciatura en Ciencias Ambientales para Zonas Urbanas,Nunca,,No cuento con apoyo,Bajo,No,Positivamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Moderada,No,,Sí,Tutorías académicas,El apoyo 
26/9/2025 17:47:30,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,1°,Licenciatura en Psicología,Pocas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Alto,No,Neutro,"Sí, muchas dificultades",No afecta,No recibo apoyo,"Sí, en parte",Poco satisfecho,Moderada,No estoy seguro,Académica,No,Becas o apoyos económicos,Que la comunicación y tiempo de espera con los documentos fuera más larga ya que en algunas oportunidades o en mi casa el día que me enviaron la información terminaba el plazo y sólo tenía medio día para recolectar los documentos que me hacían falta 
